
Sterbefälle, Sterbeziffern (je 100.000 Einwohner, altersstandardisiert) (ab 1998). Gliederungsmerkmale: Jahre, Region, Alter, Geschlecht, Nationalität, ICD-10, Art der Standardisierung
****************************************************************************************************

Diese Tabelle bezieht sich auf:
Alter:;Alle Altersgruppen
Geschlecht:;Insgesamt
Nationalität:;Alle Nationalitäten
ICD10:;J00-J99 Krankheiten des Atmungssystems
Art der Standardisierung:;Standardbevölkerung &quot;Deutschland 2022&quot; - getrennt nach Geschlecht;;"Sterbefälle";"Sterbefälle  je 100.000 Einwohner";"Sterbefälle je 100.000 Einwohner (altersstandardisiert)";
"        2024";"        Deutschland";"75.117";"89,9";"88,8";
;"          Baden-Württemberg";"8.359";"74,4";"76,9";
;"          Bayern";"10.324";"78,1";"81,7";
;"          Berlin";"3.076";"83,7";"95,0";
;"          Brandenburg";"2.350";"92,0";"78,9";
;"          Bremen";"647";"91,9";"97,9";
;"          Hamburg";"1.587";"85,5";"100,8";
;"          Hessen";"5.532";"88,2";"91,5";
;"          Mecklenburg-Vorpommern";"1.490";"94,6";"79,2";
;"          Niedersachsen";"8.556";"106,9";"103,6";
;"          Nordrhein-Westfalen";"18.028";"100,0";"101,4";
;"          Rheinland-Pfalz";"3.875";"93,9";"92,6";
;"          Saarland";"1.227";"121,1";"110,0";
;"          Sachsen";"3.083";"76,2";"62,4";
;"          Sachsen-Anhalt";"1.998";"93,4";"75,7";
;"          Schleswig-Holstein";"2.668";"90,2";"83,6";
;"          Thüringen";"2.317";"109,9";"91,8";
;"        Früheres Bundesgebiet und Berlin-Ost";"63.879";"89,9";"91,8";
;"        Neue Länder ohne Berlin-Ost";"11.238";"90,4";"75,1";
"        2023";"        Deutschland";"72.502";"87,1";"87,0";
;"          Baden-Württemberg";"8.107";"72,4";"76,0";
;"          Bayern";"9.811";"74,7";"79,2";
;"          Berlin";"3.050";"83,6";"95,6";
;"          Brandenburg";"2.354";"92,3";"80,8";
;"          Bremen";"610";"87,2";"93,0";
;"          Hamburg";"1.525";"82,8";"98,1";
;"          Hessen";"5.071";"81,1";"85,2";
;"          Mecklenburg-Vorpommern";"1.489";"94,4";"80,2";
;"          Niedersachsen";"8.339";"104,3";"102,3";
;"          Nordrhein-Westfalen";"17.333";"96,3";"98,7";
;"          Rheinland-Pfalz";"3.665";"89,0";"88,6";
;"          Saarland";"1.097";"108,3";"99,2";
;"          Sachsen";"3.083";"76,1";"63,2";
;"          Sachsen-Anhalt";"1.997";"93,0";"76,0";
;"          Schleswig-Holstein";"2.737";"92,9";"87,2";
;"          Thüringen";"2.234";"105,5";"89,9";
;"        Früheres Bundesgebiet und Berlin-Ost";"61.345";"86,6";"89,5";
;"        Neue Länder ohne Berlin-Ost";"11.157";"89,7";"75,6";
"        2022";"        Deutschland";"67.633";"82,0";"82,0";
;"          Baden-Württemberg";"7.372";"66,5";"70,0";
;"          Bayern";"9.313";"71,6";"76,2";
;"          Berlin";"2.842";"79,1";"90,2";
;"          Brandenburg";"2.170";"85,9";"75,7";
;"          Bremen";"563";"81,4";"86,9";
;"          Hamburg";"1.417";"78,2";"91,8";
;"          Hessen";"4.962";"80,2";"84,1";
;"          Mecklenburg-Vorpommern";"1.359";"86,7";"74,3";
;"          Niedersachsen";"7.701";"97,2";"95,2";
;"          Nordrhein-Westfalen";"15.856";"88,8";"90,8";
;"          Rheinland-Pfalz";"3.454";"84,6";"84,2";
;"          Saarland";"1.007";"100,0";"91,6";
;"          Sachsen";"2.890";"71,8";"59,8";
;"          Sachsen-Anhalt";"1.874";"87,5";"71,8";
;"          Schleswig-Holstein";"2.532";"86,6";"81,6";
;"          Thüringen";"2.321";"110,1";"94,7";
;"        Früheres Bundesgebiet und Berlin-Ost";"57.019";"81,3";"84,0";
;"        Neue Länder ohne Berlin-Ost";"10.614";"85,8";"72,7";
"        2021";"        Deutschland";"57.316";"68,9";"69,4";
;"          Baden-Württemberg";"6.114";"55,0";"58,4";
;"          Bayern";"7.666";"58,3";"62,5";
;"          Berlin";"2.409";"65,6";"76,3";
;"          Brandenburg";"1.924";"75,9";"67,7";
;"          Bremen";"464";"68,4";"71,3";
;"          Hamburg";"1.306";"70,5";"83,4";
;"          Hessen";"4.215";"67,0";"70,6";
;"          Mecklenburg-Vorpommern";"1.122";"69,6";"61,3";
;"          Niedersachsen";"6.746";"84,2";"83,5";
;"          Nordrhein-Westfalen";"13.013";"72,6";"74,4";
;"          Rheinland-Pfalz";"3.017";"73,5";"73,3";
;"          Saarland";"869";"88,4";"80,8";
;"          Sachsen";"2.547";"62,9";"53,0";
;"          Sachsen-Anhalt";"1.517";"69,7";"58,0";
;"          Schleswig-Holstein";"2.285";"78,3";"74,6";
;"          Thüringen";"2.102";"99,4";"85,6";
;"        Früheres Bundesgebiet und Berlin-Ost";"48.104";"68,0";"70,8";
;"        Neue Länder ohne Berlin-Ost";"9.212";"73,8";"63,2";
"        2020";"        Deutschland";"61.348";"73,8";"75,5";
;"          Baden-Württemberg";"6.691";"60,3";"65,0";
;"          Bayern";"8.578";"65,3";"71,2";
;"          Berlin";"2.601";"70,9";"82,9";
;"          Brandenburg";"2.015";"79,8";"72,4";
;"          Bremen";"515";"75,7";"79,3";
;"          Hamburg";"1.224";"66,2";"79,0";
;"          Hessen";"4.621";"73,5";"78,6";
;"          Mecklenburg-Vorpommern";"1.133";"70,4";"63,4";
;"          Niedersachsen";"7.074";"88,4";"89,0";
;"          Nordrhein-Westfalen";"14.029";"78,2";"81,2";
;"          Rheinland-Pfalz";"3.140";"76,7";"77,4";
;"          Saarland";"879";"89,2";"82,5";
;"          Sachsen";"2.841";"69,9";"59,2";
;"          Sachsen-Anhalt";"1.638";"74,9";"63,5";
;"          Schleswig-Holstein";"2.401";"82,6";"80,1";
;"          Thüringen";"1.968";"92,5";"81,5";
;"        Früheres Bundesgebiet und Berlin-Ost";"51.753";"73,3";"77,4";
;"        Neue Länder ohne Berlin-Ost";"9.595";"76,7";"66,8";
"        2019";"        Deutschland";"67.021";"80,7";"84,2";
;"          Baden-Württemberg";"7.314";"66,0";"72,7";
;"          Bayern";"9.634";"73,5";"81,7";
;"          Berlin";"2.818";"77,1";"92,1";
;"          Brandenburg";"2.096";"83,3";"77,3";
;"          Bremen";"614";"90,0";"94,9";
;"          Hamburg";"1.223";"66,3";"80,1";
;"          Hessen";"5.373";"85,6";"93,1";
;"          Mecklenburg-Vorpommern";"1.381";"85,8";"80,4";
;"          Niedersachsen";"7.447";"93,2";"96,0";
;"          Nordrhein-Westfalen";"15.474";"86,3";"91,3";
;"          Rheinland-Pfalz";"3.440";"84,1";"86,5";
;"          Saarland";"766";"77,5";"73,4";
;"          Sachsen";"3.023";"74,2";"64,6";
;"          Sachsen-Anhalt";"1.667";"75,7";"65,8";
;"          Schleswig-Holstein";"2.639";"91,0";"90,8";
;"          Thüringen";"2.112";"98,8";"89,9";
;"        Früheres Bundesgebiet und Berlin-Ost";"56.742";"80,4";"86,6";
;"        Neue Länder ohne Berlin-Ost";"10.279";"82,0";"73,4";
"        2018";"        Deutschland";"71.719";"86,5";"92,2";
;"          Baden-Württemberg";"8.002";"72,4";"81,6";
;"          Bayern";"10.025";"76,9";"87,3";
;"          Berlin";"3.058";"84,3";"102,8";
;"          Brandenburg";"2.240";"89,3";"86,4";
;"          Bremen";"780";"114,4";"124,2";
;"          Hamburg";"1.250";"68,1";"82,9";
;"          Hessen";"5.482";"87,6";"97,4";
;"          Mecklenburg-Vorpommern";"1.393";"86,5";"82,9";
;"          Niedersachsen";"7.922";"99,4";"104,1";
;"          Nordrhein-Westfalen";"16.550";"92,3";"99,3";
;"          Rheinland-Pfalz";"3.661";"89,7";"93,8";
;"          Saarland";"851";"85,8";"81,9";
;"          Sachsen";"3.334";"81,7";"72,3";
;"          Sachsen-Anhalt";"1.970";"88,9";"78,9";
;"          Schleswig-Holstein";"3.003";"103,8";"105,8";
;"          Thüringen";"2.198";"102,4";"95,4";
;"        Früheres Bundesgebiet und Berlin-Ost";"60.584";"86,1";"94,5";
