"State / Measuring network";"Station code";"Station name";"Station setting";"Station type";Pollutant;"Time scope";Date;Time;"Measure value";Unit
Brandenburg;DEBB127;Luckenwalde;"suburban area";background;"Particulate matter (PM₂,₅)";"Daily average (1TMW)";2025-03-23;-;23;µg/m³
Hamburg;DEHH082;"Hamburg Niendorf";"suburban area";background;"Particulate matter (PM₂,₅)";"Daily average (1TMW)";2025-03-23;-;23;µg/m³
"North Rhine-Westphalia";DENW431;Düsseldorf-Lohausen;"urban area";background;"Particulate matter (PM₂,₅)";"Daily average (1TMW)";2025-03-23;-;6;µg/m³
"Mecklenburg-West Pomerania";DEMV060;"Neubrandenburg Südstadt";"urban area";background;"Particulate matter (PM₂,₅)";"Daily average (1TMW)";2025-03-23;-;24;µg/m³
Brandenburg;DEBB112;Wildau;"suburban area";background;"Particulate matter (PM₂,₅)";"Daily average (1TMW)";2025-03-23;-;22;µg/m³
Saxony;DESN130;Liebschützberg;"rural secluded";background;"Particulate matter (PM₂,₅)";"Daily average (1TMW)";2025-03-23;-;15;µg/m³
Brandenburg;DEBB111;Elsterwerda;"urban area";background;"Particulate matter (PM₂,₅)";"Daily average (1TMW)";2025-03-23;-;20;µg/m³
"North Rhine-Westphalia";DENW405;Wesel-Obrighoven;"rural near town";background;"Particulate matter (PM₂,₅)";"Daily average (1TMW)";2025-03-23;-;12;µg/m³
Brandenburg;DEBB110;Dallgow-Döberitz;"suburban area";background;"Particulate matter (PM₂,₅)";"Daily average (1TMW)";2025-03-23;-;22;µg/m³
UBA;DEUB030;Neuglobsow;"rural regional";background;"Particulate matter (PM₂,₅)";"Daily average (1TMW)";2025-03-23;-;23;µg/m³
UBA;DEUB029;Schmücke;"rural area";background;"Particulate matter (PM₂,₅)";"Daily average (1TMW)";2025-03-23;-;18;µg/m³
UBA;DEUB028;Zingst;"rural area";background;"Particulate matter (PM₂,₅)";"Daily average (1TMW)";2025-03-23;-;20;µg/m³
UBA;DEUB005;Waldhof;"rural area";background;"Particulate matter (PM₂,₅)";"Daily average (1TMW)";2025-03-23;-;25;µg/m³
UBA;DEUB004;Schauinsland;"rural regional";background;"Particulate matter (PM₂,₅)";"Daily average (1TMW)";2025-03-23;-;2;µg/m³
UBA;DEUB001;Westerland;"rural area";background;"Particulate matter (PM₂,₅)";"Daily average (1TMW)";2025-03-23;-;24;µg/m³
Thuringia;DETH117;"Erfurt Bautzener Weg";"suburban area";background;"Particulate matter (PM₂,₅)";"Daily average (1TMW)";2025-03-23;-;24;µg/m³
Thuringia;DETH095;"Mühlhausen Bastmarkt";"urban area";background;"Particulate matter (PM₂,₅)";"Daily average (1TMW)";2025-03-23;-;26;µg/m³
Thuringia;DETH093;"Weimar Schwanseestr.";"urban area";background;"Particulate matter (PM₂,₅)";"Daily average (1TMW)";2025-03-23;-;26;µg/m³
Thuringia;DETH061;Hummelshain;"rural secluded";background;"Particulate matter (PM₂,₅)";"Daily average (1TMW)";2025-03-23;-;17;µg/m³
Thuringia;DETH042;Possen;"rural secluded";background;"Particulate matter (PM₂,₅)";"Daily average (1TMW)";2025-03-23;-;23;µg/m³
Thuringia;DETH041;"Jena Dammstr.";"urban area";background;"Particulate matter (PM₂,₅)";"Daily average (1TMW)";2025-03-23;-;22;µg/m³
Thuringia;DETH036;"Greiz Mollbergstr.";"urban area";background;"Particulate matter (PM₂,₅)";"Daily average (1TMW)";2025-03-23;-;21;µg/m³
Thuringia;DETH027;Neuhaus;"rural secluded";background;"Particulate matter (PM₂,₅)";"Daily average (1TMW)";2025-03-23;-;16;µg/m³
Thuringia;DETH026;Dreißigacker;"rural regional";background;"Particulate matter (PM₂,₅)";"Daily average (1TMW)";2025-03-23;-;15;µg/m³
Thuringia;DETH020;"Erfurt Krämpferstr.";"urban area";background;"Particulate matter (PM₂,₅)";"Daily average (1TMW)";2025-03-23;-;24;µg/m³
Thuringia;DETH018;Nordhausen;"urban area";background;"Particulate matter (PM₂,₅)";"Daily average (1TMW)";2025-03-23;-;23;µg/m³
Thuringia;DETH013;"Eisenach Werneburgstr.";"urban area";background;"Particulate matter (PM₂,₅)";"Daily average (1TMW)";2025-03-23;-;22;µg/m³
Thuringia;DETH011;"Altenburg Theaterplatz";"urban area";background;"Particulate matter (PM₂,₅)";"Daily average (1TMW)";2025-03-23;-;21;µg/m³
Thuringia;DETH009;"Gera Friedericistr.";"urban area";background;"Particulate matter (PM₂,₅)";"Daily average (1TMW)";2025-03-23;-;23;µg/m³
Thuringia;DETH005;Saalfeld;"urban area";background;"Particulate matter (PM₂,₅)";"Daily average (1TMW)";2025-03-23;-;18;µg/m³
Saxony-Anhalt;DEST106;"Goldene Aue (Roßla)";"rural area";background;"Particulate matter (PM₂,₅)";"Daily average (1TMW)";2025-03-23;-;27;µg/m³
Saxony-Anhalt;DEST105;"Stendal Stadtsee";"urban area";background;"Particulate matter (PM₂,₅)";"Daily average (1TMW)";2025-03-23;-;27;µg/m³
Saxony-Anhalt;DEST104;"Domäne Bobbe";"rural area";background;"Particulate matter (PM₂,₅)";"Daily average (1TMW)";2025-03-23;-;27;µg/m³
Saxony-Anhalt;DEST098;"Unterharz / Friedrichsbrunn";"rural regional";background;"Particulate matter (PM₂,₅)";"Daily average (1TMW)";2025-03-23;-;18;µg/m³
Saxony-Anhalt;DEST089;Zartau/Waldstation;"rural regional";background;"Particulate matter (PM₂,₅)";"Daily average (1TMW)";2025-03-23;-;25;µg/m³
Saxony-Anhalt;DEST077;Magdeburg/West;"urban area";background;"Particulate matter (PM₂,₅)";"Daily average (1TMW)";2025-03-23;-;23;µg/m³
Saxony-Anhalt;DEST066;Wittenberg/Bahnstrasse;"urban area";background;"Particulate matter (PM₂,₅)";"Daily average (1TMW)";2025-03-23;-;28;µg/m³
Saxony-Anhalt;DEST050;Halle/Nord;"urban area";background;"Particulate matter (PM₂,₅)";"Daily average (1TMW)";2025-03-23;-;18;µg/m³
Saxony-Anhalt;DEST044;Halberstadt;"urban area";background;"Particulate matter (PM₂,₅)";"Daily average (1TMW)";2025-03-23;-;28;µg/m³
Saxony-Anhalt;DEST029;Bernburg;"suburban area";background;"Particulate matter (PM₂,₅)";"Daily average (1TMW)";2025-03-23;-;33;µg/m³
Saxony-Anhalt;DEST011;Wernigerode/Bahnhof;"urban area";background;"Particulate matter (PM₂,₅)";"Daily average (1TMW)";2025-03-23;-;26;µg/m³
Saxony-Anhalt;DEST002;Burg;"suburban area";background;"Particulate matter (PM₂,₅)";"Daily average (1TMW)";2025-03-23;-;20;µg/m³
Saxony;DESN093;Brockau;"rural regional";background;"Particulate matter (PM₂,₅)";"Daily average (1TMW)";2025-03-23;-;19;µg/m³
Saxony;DESN092;Dresden-Winckelmannstr.;"urban area";background;"Particulate matter (PM₂,₅)";"Daily average (1TMW)";2025-03-23;-;13;µg/m³
